scenario_id,num_of_threads,bucket,query_id,cartesian_product,probability,running_time,improvement_factor
7,1,1,3,432,{0.5=0.04856393912836938},994998,1.000000
7,2,1,3,432,{0.5=0.04856393912836938},500066,1.989733
7,4,1,3,432,{0.5=0.04856393912836938},257248,3.867855
7,6,1,3,432,{0.5=0.04856393912836937},175263,5.677171
7,8,1,3,432,{0.5=0.04856393912836938},134672,7.388307
7,10,1,3,432,{0.5=0.04856393912836937},110508,9.003855
7,12,1,3,432,{0.5=0.04856393912836937},94838,10.491554
7,14,1,3,432,{0.5=0.04856393912836938},85008,11.704757
7,16,1,3,432,{0.5=0.04856393912836938},76587,12.991735
7,18,1,3,432,{0.5=0.04856393912836937},70757,14.062184
7,20,1,3,432,{0.5=0.04856393912836937},66946,14.862696
7,22,1,3,432,{0.5=0.04856393912836937},63341,15.708593
7,24,1,3,432,{0.5=0.04856393912836938},61973,16.055347
8,1,1,3,144,{0.5=0.9408336059198182},355301,1.000000
8,2,1,3,144,{0.5=0.9408336059198182},179750,1.976640
8,4,1,3,144,{0.5=0.9408336059198183},93113,3.815804
8,6,1,3,144,{0.5=0.9408336059198182},64128,5.540497
8,8,1,3,144,{0.5=0.9408336059198182},50590,7.023147
8,10,1,3,144,{0.5=0.9408336059198182},41314,8.600015
8,12,1,3,144,{0.5=0.9408336059198181},36493,9.736141
8,14,1,3,144,{0.5=0.9408336059198183},32791,10.835320
8,16,1,3,144,{0.5=0.9408336059198181},30225,11.755202
8,18,1,3,144,{0.5=0.9408336059198182},27927,12.722490
8,20,1,3,144,{0.5=0.9408336059198182},26228,13.546630
8,22,1,3,144,{0.5=0.9408336059198181},25281,14.054072
8,24,1,3,144,{0.5=0.9408336059198181},23881,14.877978
9,1,1,3,288,{0.5=0.3238976670488465},626643,1.000000
9,2,1,3,288,{0.5=0.32389766704884654},316139,1.982176
9,4,1,3,288,{0.5=0.32389766704884654},164023,3.820458
9,6,1,3,288,{0.5=0.32389766704884654},112868,5.551999
9,8,1,3,288,{0.5=0.32389766704884654},86460,7.247779
9,10,1,3,288,{0.5=0.32389766704884654},71896,8.715964
9,12,1,3,288,{0.5=0.32389766704884654},61590,10.174428
9,14,1,3,288,{0.5=0.32389766704884654},55895,11.211074
9,16,1,3,288,{0.5=0.32389766704884654},50546,12.397479
9,18,1,3,288,{0.5=0.32389766704884654},48059,13.039036
9,20,1,3,288,{0.5=0.3238976670488465},44324,14.137781
9,22,1,3,288,{0.5=0.32389766704884654},44952,13.940269
9,24,1,3,288,{0.5=0.32389766704884654},41453,15.116952
10,1,1,3,252,{0.5=1.633353723132953E-4},524344,1.000000
10,2,1,3,252,{0.5=1.633353723132953E-4},266617,1.966656
10,4,1,3,252,{0.5=1.6333537231329529E-4},138178,3.794700
10,6,1,3,252,{0.5=1.633353723132953E-4},93218,5.624922
10,8,1,3,252,{0.5=1.633353723132953E-4},72683,7.214122
10,10,1,3,252,{0.5=1.6333537231329529E-4},59859,8.759652
10,12,1,3,252,{0.5=1.6333537231329529E-4},52216,10.041826
10,14,1,3,252,{0.5=1.6333537231329529E-4},47853,10.957391
10,16,1,3,252,{0.5=1.6333537231329529E-4},42094,12.456502
10,18,1,3,252,{0.5=1.6333537231329529E-4},39975,13.116798
10,20,1,3,252,{0.5=1.6333537231329529E-4},38188,13.730596
10,22,1,3,252,{0.5=1.633353723132953E-4},36250,14.464662
10,24,1,3,252,{0.5=1.6333537231329526E-4},36327,14.434002
